"configuration","problem","model","data_file","status","time","failures","nSolutions","peakDepth","restarts","paths","nogoods","randomSeed","evaluatedReifiedConstraints","trailMem","baseMem","backjumps","optTime","solutions","variables","run","method","flatIntConstraints","propagators","intVars","objective","peakMem","flatBoolConstraints","processFlatZincTime","flatIntVars","flatTime","flatBoolVars","solveTime","initTime","boolVariables","nodes","propagations"
"gecode","jsswet","jsswet.mzn","jsswet_swv13.dzn","SATISFIED","600.0581984670134","6564727","5465","340","0","0","","","","","","","","5465","651","raw","minimize","611","605","","213517","","","","651","0.116247","","599.879","0.004408","","13144931","104051232"
"picat_sat","jsswet","jsswet.mzn","jsswet_la23.dzn","OPTIMAL_SOLUTION","330.7326891699922","","9","","","0","","","2100","","","","","","","raw","minimize","2281","","","15390","","1050","0.2304349659990929","196","0.133044","2100","330.36921020399313","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la18.dzn","SATISFIED","600.0477265070076","29933340","513","76","0","0","","","","","","","","513","131","raw","minimize","131","130","","9121","","","","131","0.051569","","599.943","0.001163","","59869894","725921829"
"gecode","jsswet","jsswet.mzn","jsswet_swv02.dzn","SATISFIED","600.0466788850026","3223526","7515","139","0","0","","","","","","","","7515","261","raw","minimize","251","249","","64059","","","","261","0.060656","","599.934","0.001899","","6587657","262850085"
"picat_sat","jsswet","jsswet.mzn","jsswet_la22.dzn","OPTIMAL_SOLUTION","313.4688106480171","","11","","","0","","","2100","","","","","","","raw","minimize","2281","","","13496","","1050","0.2394299659990929","196","0.124049","2100","313.105331682018","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_orb03.dzn","SATISFIED","600.045989398961","12954800","5138","81","0","0","","","","","","","","5138","131","raw","minimize","131","130","","6418","","","","131","0.053185","","599.941","0.001183","","25995464","706881777"
"gecode","jsswet","jsswet.mzn","jsswet_vw3x3.dzn","OPTIMAL_SOLUTION","4.26298057398526","4955","3088","11","0","0","","","","","","","","3088","19","raw","minimize","19","19","","0","","","","19","0.04504","","1.67245","0.000746","","17841","109625"
"gecode","jsswet","jsswet.mzn","jsswet_la02.dzn","SATISFIED","600.0431320520001","31403998","4643","58","0","0","","","","","","","","4643","81","raw","minimize","76","76","","14852","","","","81","0.049362","","599.945","0.000817","","62842448","876016975"
"gecode","jsswet","jsswet.mzn","jsswet_la30.dzn","SATISFIED","600.0466405610205","3109025","2","129","0","0","","","","","","","","2","261","raw","minimize","251","247","","57566","","","","261","0.063359","","599.932","0.001879","","6218163","250434603"
"picat_sat","jsswet","jsswet.mzn","jsswet_la38.dzn","OPTIMAL_SOLUTION","313.1909003229812","","14","","","0","","","3150","","","","","","","raw","minimize","3406","","","62010","","1575","0.1719599659990929","271","0.191519","3150","312.8274213569821","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la01.dzn","OPTIMAL_SOLUTION","30.493508144980296","334","1092","685","1094","0","334","1630286181","","1.41","0.0","5789","30.209","","353214","raw","minimize","76","543","82","127","0.0","","","81","0.050527","","30.21","0.062","353130","233513","6987630"
"picat_sat","jsswet","jsswet.mzn","jsswet_la31.dzn","SATISFIED","600.2741213919944","","6","","","0","","","8700","","","","","","","raw","minimize","9061","","","226775","","4350","-0.031637034000907116","391","0.395116","8700","599.9106424259953","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_abz6.dzn","SATISFIED","600.0405001569889","33946802","447","86","0","0","","","","","","","","447","131","raw","minimize","131","129","","12124","","","","131","0.058668","","599.935","0.001116","","67897822","1063354380"
"chuffed","jsswet","jsswet.mzn","jsswet_la33.dzn","SATISFIED","600.1034804599476","","316","","","0","","","","","","","","","","raw","minimize","371","","","40122740","","","","391","0.087753","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la36.dzn","OPTIMAL_SOLUTION","352.373461184965","","13","","","0","","","3150","","","","","","","raw","minimize","3406","","","54448","","1575","0.1875789659990929","271","0.1759","3150","352.0099822189659","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la29.dzn","SATISFIED","600.098714672029","","1583","","","0","","","","","","","","","","raw","minimize","251","","","126240","","","","261","0.065778","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_swv11.dzn","SATISFIED","600.0653383840108","302445","22974","351","0","0","","","","","","","","22974","651","raw","minimize","611","605","","219433","","","","651","0.11815","","599.877","0.004342","","1330465","17990822"
"picat_sat","jsswet","jsswet.mzn","jsswet_swv12.dzn","SATISFIED","600.5530908099608","","5","","","0","","","24500","","","","","","","raw","minimize","25101","","","726522","","12250","-0.6767010340009072","651","1.04018","24500","600.1896118439618","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la32.dzn","SATISFIED","600.161703463993","","1583","","","0","","","","","","","","","","raw","minimize","371","","","32524914","","","","391","0.084462","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_swv06.dzn","UNSATISFIABLE","26.086569231003523","","0","","","0","","","5700","","","","","","","raw","minimize","6041","","","","","2850","0.0763369659990929","361","0.287142","5700","25.72309026500443","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la06.dzn","SATISFIED","600.0437631550012","9834837","214","65","0","0","","","","","","","","214","121","raw","minimize","111","111","","48313","","","","121","0.050768","","599.944","0.001079","","19670354","346095852"
"chuffed","jsswet","jsswet.mzn","jsswet_vw3x3.dzn","OPTIMAL_SOLUTION","0.11720861698267981","200","5","34","7","0","200","1630290053","","0.08","0.0","32","0.015","","7021","raw","minimize","19","45","20","0","0.0","","","19","0.045883","","0.015","0.006","6999","368","3974"
"chuffed","jsswet","jsswet.mzn","jsswet_swv14.dzn","SATISFIED","600.2435194919817","","263","","","0","","","","","","","","","","raw","minimize","611","","","5867476","","","","651","0.117397","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la26.dzn","SATISFIED","600.0438654450118","11254469","2034","161","0","0","","","","","","","","2034","261","raw","minimize","251","247","","51183","","","","261","0.064242","","599.93","0.001943","","22544735","252077047"
"picat_sat","jsswet","jsswet.mzn","jsswet_orb03.dzn","OPTIMAL_SOLUTION","128.4348964500241","","9","","","0","","","900","","","","","","","raw","minimize","1021","","","4943","","450","0.2753789659990929","131","0.0881","900","128.071417484025","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la33.dzn","SATISFIED","600.2774491970195","","7","","","0","","","8700","","","","","","","raw","minimize","9061","","","97930","","4350","-0.046447034000907106","391","0.409926","8700","599.9139702310204","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la06.dzn","OPTIMAL_SOLUTION","5.045120480004698","268","168","1170","170","0","268","1630286775","","4.75","0.0","11172","4.749","","263867","raw","minimize","111","1183","122","67","0.0","","","121","0.052972","","4.751","0.099","263743","57859","4747640"
"gecode","jsswet","jsswet.mzn","jsswet_ft06.dzn","OPTIMAL_SOLUTION","2.3250030539929867","3231","1063","28","0","0","","","","","","","","1063","55","raw","minimize","55","55","","2","","","","55","0.052516","","0.723351","0.000951","","12016","124929"
"gecode","jsswet","jsswet.mzn","jsswet_la25.dzn","SATISFIED","600.0432315010112","5273691","2339","112","0","0","","","","","","","","2339","196","raw","minimize","191","189","","30756","","","","196","0.057317","","599.938","0.001555","","10599057","990888686"
"gecode","jsswet","jsswet.mzn","jsswet_la33.dzn","SATISFIED","600.0439102179953","5611197","9","204","0","0","","","","","","","","9","391","raw","minimize","371","368","","145700","","","","391","0.08385","","599.911","0.002727","","11222588","169697350"
"gecode","jsswet","jsswet.mzn","jsswet_la22.dzn","SATISFIED","600.0456399039831","4319486","1452","103","0","0","","","","","","","","1452","196","raw","minimize","191","189","","30700","","","","196","0.055151","","599.94","0.001474","","8654139","480732869"
"chuffed","jsswet","jsswet.mzn","jsswet_orb03.dzn","SATISFIED","600.0782273510122","","5906","","","0","","","","","","","","","","raw","minimize","131","","","55304","","","","131","0.054632","","","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_swv10.dzn","SATISFIED","600.1226654510247","","1302","","","0","","","","","","","","","","raw","minimize","356","","","130024","","","","361","0.082067","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la03.dzn","OPTIMAL_SOLUTION","73.73804912198102","","11","","","0","","","450","","","","","","","raw","minimize","521","","","65","","225","0.3001029659990929","81","0.063376","450","73.37457015598193","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_swv12.dzn","SATISFIED","600.0531210639747","1864856","288","377","0","0","","","","","","","","288","651","raw","minimize","611","605","","218822","","","","651","0.114349","","599.881","0.004077","","3731219","194190203"
"chuffed","jsswet","jsswet.mzn","jsswet_la23.dzn","SATISFIED","600.0918259390164","","2487","","","0","","","","","","","","","","raw","minimize","191","","","94124","","","","196","0.060374","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_yn4.dzn","SATISFIED","600.2594122820301","","8","","","0","","","7600","","","","","","","raw","minimize","8041","","","27507","","3800","0.022761965999092915","461","0.340717","7600","599.895933316031","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_swv01.dzn","OPTIMAL_SOLUTION","570.9966472730157","","12","","","0","","","3800","","","","","","","raw","minimize","4041","","","18184","","1900","0.1651969659990929","261","0.198282","3800","570.6331683070166","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_abz9.dzn","SATISFIED","600.1297820439795","","1223","","","0","","","","","","","","","","raw","minimize","356","","","126035","","","","361","0.093306","","","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_abz5.dzn","SATISFIED","600.0698837540112","","5379","","","0","","","","","","","","","","raw","minimize","131","","","56760","","","","131","0.067004","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_swv08.dzn","UNSATISFIABLE","22.40063047700096","","0","","","0","","","5700","","","","","","","raw","minimize","6041","","","","","2850","0.07554096599909288","361","0.287938","5700","22.037151511001866","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la16.dzn","OPTIMAL_SOLUTION","136.6350698430324","","10","","","0","","","900","","","","","","","raw","minimize","1021","","","10003","","450","0.2775309659990929","131","0.085948","900","136.2715908770333","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_orb02.dzn","SATISFIED","600.0863459589891","","5508","","","0","","","","","","","","","","raw","minimize","131","","","57521","","","","131","0.054492","","","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_orb09.dzn","SATISFIED","600.0700629900093","","4549","","","0","","","","","","","","","","raw","minimize","131","","","61106","","","","131","0.05657","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la28.dzn","OPTIMAL_SOLUTION","562.7876008549938","","10","","","0","","","3800","","","","","","","raw","minimize","4041","","","30753","","1900","0.15806396599909292","261","0.205415","3800","562.4241218889947","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la11.dzn","SATISFIED","600.1329183430062","","2304","","","0","","","","","","","","","","raw","minimize","146","","","122927","","","","161","0.066049","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_vw3x3.dzn","OPTIMAL_SOLUTION","1.0482843409990892","","10","","","0","","","18","","","","","","","raw","minimize","34","","","0","","9","0.3178449659990929","19","0.045634","18","0.6848053749999963","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_swv08.dzn","UNSATISFIABLE","0.4861924910219386","1","0","0","0","0","1","1630289644","","0.08","0.0","0","0.0","","277462","raw","minimize","356","6093","362","-1","0.0","","","361","0.081843","","0.006","0.276","277098","1","16724"
"gecode","jsswet","jsswet.mzn","jsswet_ft20.dzn","SATISFIED","600.0425858939998","6387875","1333","91","0","0","","","","","","","","1333","161","raw","minimize","146","146","","77876","","","","161","0.05636","","599.938","0.001306","","12784421","311812584"
"picat_sat","jsswet","jsswet.mzn","jsswet_la06.dzn","OPTIMAL_SOLUTION","119.6917340370128","","12","","","0","","","1050","","","","","","","raw","minimize","1156","","","67","","525","0.2709159659990929","121","0.092563","1050","119.3282550710137","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la17.dzn","OPTIMAL_SOLUTION","128.49009394703899","","10","","","0","","","900","","","","","","","raw","minimize","1021","","","7524","","450","0.2784739659990929","131","0.085005","900","128.1266149810399","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la32.dzn","SATISFIED","600.2910939209978","","7","","","0","","","8700","","","","","","","raw","minimize","9061","","","75091","","4350","-0.05727403400090708","391","0.420753","8700","599.9276149549987","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_ft20.dzn","OPTIMAL_SOLUTION","198.58740854100324","","12","","","0","","","1900","","","","","","","raw","minimize","2041","","","308","","950","0.2486769659990929","161","0.114802","1900","198.22392957500415","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_yn4.dzn","SATISFIED","600.1493858240428","","929","","","0","","","","","","","","","","raw","minimize","461","","","134549","","","","461","0.094213","","","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_abz6.dzn","SATISFIED","600.0867948929663","","5781","","","0","","","","","","","","","","raw","minimize","131","","","62656","","","","131","0.065377","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la24.dzn","OPTIMAL_SOLUTION","363.3659301539883","","11","","","0","","","2100","","","","","","","raw","minimize","2281","","","17833","","1050","0.2333889659990929","196","0.13009","2100","363.0024511879892","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la04.dzn","SATISFIED","600.0426476349821","24442008","264","46","0","0","","","","","","","","264","81","raw","minimize","76","76","","25004","","","","81","0.047254","","599.947","0.000893","","48884917","840578461"
"chuffed","jsswet","jsswet.mzn","jsswet_swv06.dzn","UNSATISFIABLE","0.5075092609622516","6","0","18","0","0","6","1630289595","","0.12","0.0","16","0.0","","277486","raw","minimize","356","6093","362","-1","0.0","","","361","0.083646","","0.015","0.282","277122","22","55448"
"picat_sat","jsswet","jsswet.mzn","jsswet_orb06.dzn","OPTIMAL_SOLUTION","129.87238633801462","","9","","","0","","","900","","","","","","","raw","minimize","1021","","","7519","","450","0.2758469659990929","131","0.087632","900","129.50890737201553","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la37.dzn","OPTIMAL_SOLUTION","406.8727026580018","","11","","","0","","","3150","","","","","","","raw","minimize","3406","","","79566","","1575","0.1803529659990929","271","0.183126","3150","406.5092236920027","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_orb02.dzn","SATISFIED","600.0424318889854","9415611","2322","84","0","0","","","","","","","","2322","131","raw","minimize","131","130","","7648","","","","131","0.056454","","599.938","0.001171","","18860175","720446073"
"gecode","jsswet","jsswet.mzn","jsswet_swv05.dzn","SATISFIED","600.0422334159957","5496282","754","135","0","0","","","","","","","","754","261","raw","minimize","251","249","","39442","","","","261","0.064135","","599.931","0.001954","","10998385","395758024"
"picat_sat","jsswet","jsswet.mzn","jsswet_la14.dzn","OPTIMAL_SOLUTION","223.02745240501827","","10","","","0","","","1900","","","","","","","raw","minimize","2041","","","1341","","950","0.2413469659990929","161","0.122132","1900","222.66397343901917","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_swv12.dzn","SATISFIED","600.2061284939991","","53","","","0","","","","","","","","","","raw","minimize","611","","","29276929","","","","651","0.119457","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la29.dzn","SATISFIED","600.0549268819741","4462406","5555","150","0","0","","","","","","","","5555","261","raw","minimize","251","248","","54561","","","","261","0.064261","","599.93","0.002","","8997981","307195293"
"gecode","jsswet","jsswet.mzn","jsswet_la14.dzn","SATISFIED","600.0423343280563","9330700","173","83","0","0","","","","","","","","173","161","raw","minimize","146","146","","32186","","","","161","0.055998","","599.939","0.001281","","18661939","419115509"
"chuffed","jsswet","jsswet.mzn","jsswet_swv07.dzn","SATISFIED","600.102741884999","","768","","","0","","","","","","","","","","raw","minimize","356","","","124858","","","","361","0.082","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_abz8.dzn","SATISFIED","600.0442907700199","2788212","78","206","0","0","","","","","","","","78","361","raw","minimize","356","356","","16504","","","","361","0.07887","","599.915","0.002445","","5577532","209562234"
"picat_sat","jsswet","jsswet.mzn","jsswet_la30.dzn","OPTIMAL_SOLUTION","473.3073505619541","","13","","","0","","","3800","","","","","","","raw","minimize","4041","","","23710","","1900","0.1620439659990929","261","0.201435","3800","472.943871595955","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la15.dzn","SATISFIED","600.0891949590296","","2163","","","0","","","","","","","","","","raw","minimize","146","","","126471","","","","161","0.057456","","","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la16.dzn","SATISFIED","600.0673017789959","","5044","","","0","","","","","","","","","","raw","minimize","131","","","56571","","","","131","0.054637","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_ft10.dzn","SATISFIED","600.0413684319938","54768235","5419","74","0","0","","","","","","","","5419","131","raw","minimize","131","129","","14610","","","","131","0.051062","","599.944","0.001179","","109585959","1008245592"
"gecode","jsswet","jsswet.mzn","jsswet_la05.dzn","SATISFIED","600.0408743319567","16739105","3676","54","0","0","","","","","","","","3676","81","raw","minimize","76","76","","5290","","","","81","0.048258","","599.947","0.000864","","33511160","847164474"
"picat_sat","jsswet","jsswet.mzn","jsswet_swv13.dzn","SATISFIED","600.5347566219862","","6","","","0","","","24500","","","","","","","raw","minimize","25101","","","562552","","12250","-0.712941034000907","651","1.07642","24500","600.1712776559871","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_swv11.dzn","SATISFIED","600.4972535489942","","7","","","0","","","24500","","","","","","","raw","minimize","25101","","","139501","","12250","-0.677321034000907","651","1.0408","24500","600.1337745829951","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la10.dzn","OPTIMAL_SOLUTION","373.6963118200074","808","2498","778","2504","0","808","1630286778","","3.16","0.0","12985","373.05","","1317126","raw","minimize","111","1183","122","270","0.0","","","121","0.057053","","373.061","0.094","1317002","729190","46394101"
"gecode","jsswet","jsswet.mzn","jsswet_swv06.dzn","UNSATISFIABLE","0.1336974140140228","5","0","1","0","0","","","","","","","","0","361","raw","minimize","356","348","","","","","","361","0.075086","","0.002984","0.002631","","9","3110"
"chuffed","jsswet","jsswet.mzn","jsswet_swv11.dzn","SATISFIED","600.3436805310193","","741","","","0","","","","","","","","","","raw","minimize","611","","","48956540","","","","651","0.111289","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_swv03.dzn","OPTIMAL_SOLUTION","468.6962069880101","","13","","","0","","","3800","","","","","","","raw","minimize","4041","","","23044","","1900","0.1498859659990929","261","0.213593","3800","468.332728022011","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la27.dzn","SATISFIED","600.092404652969","","1343","","","0","","","","","","","","","","raw","minimize","251","","","128422","","","","261","0.063896","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la09.dzn","OPTIMAL_SOLUTION","154.33980057702865","","10","","","0","","","1050","","","","","","","raw","minimize","1156","","","1561","","525","0.2758279659990929","121","0.087651","1050","153.97632161102956","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la05.dzn","OPTIMAL_SOLUTION","79.30358614400029","254","3264","2118","3266","0","254","1630286492","","4.75","0.0","9122","79.026","","331622","raw","minimize","76","543","82","54","0.0","","","81","0.050688","","79.028","0.057","331538","525843","18205085"
"gecode","jsswet","jsswet.mzn","jsswet_orb08.dzn","SATISFIED","600.05328288296","7802197","54","80","0","0","","","","","","","","54","131","raw","minimize","131","131","","8328","","","","131","0.053976","","599.94","0.001264","","15605399","510783676"
"picat_sat","jsswet","jsswet.mzn","jsswet_orb02.dzn","OPTIMAL_SOLUTION","123.79202071198961","","9","","","0","","","900","","","","","","","raw","minimize","1021","","","3347","","450","0.2710399659990929","131","0.092439","900","123.42854174599051","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_ft06.dzn","OPTIMAL_SOLUTION","12.042449622007553","","10","","","0","","","180","","","","","","","raw","minimize","229","","","2","","90","0.2999579659990929","55","0.063521","180","11.67897065600846","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_orb10.dzn","OPTIMAL_SOLUTION","142.34397844504565","","12","","","0","","","900","","","","","","","raw","minimize","1021","","","5984","","450","0.2744119659990929","131","0.089067","900","141.98049947904656","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la12.dzn","SATISFIED","600.0558016619761","4019845","1097","81","0","0","","","","","","","","1097","161","raw","minimize","146","146","","49644","","","","161","0.058264","","599.936","0.001344","","8047274","369469780"
"chuffed","jsswet","jsswet.mzn","jsswet_la38.dzn","SATISFIED","600.1156076110201","","2143","","","0","","","","","","","","","","raw","minimize","271","","","97629","","","","271","0.071599","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la28.dzn","SATISFIED","600.0445139860385","3947120","1206","134","0","0","","","","","","","","1206","261","raw","minimize","251","248","","67333","","","","261","0.064566","","599.93","0.001965","","7913891","251595047"
"picat_sat","jsswet","jsswet.mzn","jsswet_abz8.dzn","SATISFIED","600.1983966180123","","12","","","0","","","5700","","","","","","","raw","minimize","6041","","","57","","2850","0.0893599659990929","361","0.274119","5700","599.8349176520132","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la20.dzn","OPTIMAL_SOLUTION","135.04591005801922","","11","","","0","","","900","","","","","","","raw","minimize","1021","","","2854","","450","0.2786849659990929","131","0.084794","900","134.68243109202012","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_swv07.dzn","SATISFIED","600.2331632070127","","9","","","0","","","5700","","","","","","","raw","minimize","6041","","","80382","","2850","0.0794259659990929","361","0.284053","5700","599.8696842410136","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_swv04.dzn","SATISFIED","600.0457018669695","20855517","3443","133","0","0","","","","","","","","3443","261","raw","minimize","251","249","","54014","","","","261","0.064398","","599.93","0.00197","","41746830","472091412"
"picat_sat","jsswet","jsswet.mzn","jsswet_la10.dzn","OPTIMAL_SOLUTION","134.66436937899562","","12","","","0","","","1050","","","","","","","raw","minimize","1156","","","270","","525","0.2682389659990929","121","0.09524","1050","134.30089041299652","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_swv03.dzn","SATISFIED","600.1118018910056","","1322","","","0","","","","","","","","","","raw","minimize","251","","","138654","","","","261","0.067763","","","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la18.dzn","SATISFIED","600.1882621570257","","5271","","","0","","","","","","","","","","raw","minimize","131","","","58908","","","","131","0.055208","","","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_orb06.dzn","SATISFIED","600.0810355650028","","4532","","","0","","","","","","","","","","raw","minimize","131","","","939099","","","","131","0.055183","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la19.dzn","OPTIMAL_SOLUTION","115.48704035399714","","11","","","0","","","900","","","","","","","raw","minimize","1021","","","7164","","450","0.2791509659990929","131","0.084328","900","115.12356138799805","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_swv07.dzn","SATISFIED","600.0524852039525","1244020","13106","177","0","0","","","","","","","","13106","361","raw","minimize","356","349","","81207","","","","361","0.072258","","599.922","0.002573","","2789961","579972702"
"chuffed","jsswet","jsswet.mzn","jsswet_orb04.dzn","SATISFIED","600.0784241459914","","4103","","","0","","","","","","","","","","raw","minimize","131","","","59945","","","","131","0.054281","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_swv10.dzn","SATISFIED","600.1319284110214","","10","","","0","","","5700","","","","","","","raw","minimize","6041","","","97684","","2850","0.08700296599909291","361","0.276476","5700","599.7684494450223","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_swv01.dzn","SATISFIED","600.0460183590185","26254042","1961","156","0","0","","","","","","","","1961","261","raw","minimize","251","248","","45723","","","","261","0.065231","","599.929","0.001981","","52548203","715708816"
"gecode","jsswet","jsswet.mzn","jsswet_swv08.dzn","UNSATISFIABLE","0.12854719499591738","1","0","0","0","0","","","","","","","","0","361","raw","minimize","356","0","","","","","","361","0.073728","","0.000636","0.002592","","0","2273"
"chuffed","jsswet","jsswet.mzn","jsswet_ft06.dzn","OPTIMAL_SOLUTION","4.368524897960015","202","1086","2020","1088","0","202","1630286174","","2.11","0.0","5010","3.971","","49571","raw","minimize","55","249","56","2","0.0","","","55","0.060281","","3.971","0.016","49513","135113","2037994"
"gecode","jsswet","jsswet.mzn","jsswet_la20.dzn","SATISFIED","600.0419265090022","13286177","1318","81","0","0","","","","","","","","1318","131","raw","minimize","131","130","","7848","","","","131","0.056385","","599.938","0.001256","","26583361","823716887"
"picat_sat","jsswet","jsswet.mzn","jsswet_la07.dzn","OPTIMAL_SOLUTION","128.57147860497935","","12","","","0","","","1050","","","","","","","raw","minimize","1156","","","233","","525","0.2714179659990929","121","0.092061","1050","128.20799963898025","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_orb10.dzn","SATISFIED","600.0456270329887","15585081","1078","79","0","0","","","","","","","","1078","131","raw","minimize","131","129","","7362","","","","131","0.05512","","599.939","0.001295","","31176643","484946262"
"chuffed","jsswet","jsswet.mzn","jsswet_la03.dzn","OPTIMAL_SOLUTION","12.527600093977526","286","782","375","784","0","286","1630286317","","0.94","0.0","4281","12.29","","239623","raw","minimize","76","543","82","65","0.0","","","81","0.051548","","12.291","0.06","239539","129872","5528816"
"gecode","jsswet","jsswet.mzn","jsswet_swv14.dzn","SATISFIED","600.0615061220014","834586","133","348","0","0","","","","","","","","133","651","raw","minimize","611","606","","195020","","","","651","0.115685","","599.88","0.00429","","1671164","108101040"
