"configuration","problem","model","data_file","status","time","failures","restarts","nSolutions","solveTime","optTime","variables","baseMem","processFlatZincTime","flatIntConstraints","peakMem","randomSeed","run","flatTime","method","peakDepth","propagations","flatIntVars","solutions","flatBoolVars","backjumps","initTime","trailMem","boolVariables","evaluatedReifiedConstraints","nogoods","flatBoolConstraints","objective","intVars","paths","propagators","nodes"
"picat_sat","jsswet","jsswet.mzn","jsswet_la27.dzn","OPTIMAL_SOLUTION","442.1453341610031","","","7","441.8014487409964","","","","0.13150042000669987","4042","","","raw","0.212385","minimize","","","261","","3800","","","","","3800","","1900","283","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la30.dzn","SATISFIED","600.0500205690041","","","2479","","","","","","252","","","raw","0.069134","minimize","","","261","","","","","","","","","","6546","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_la31.dzn","UNKNOWN","600.0469214589684","1962551","0","0","599.91","","391","","","372","","","raw","0.085024","minimize","189","361924704","391","0","","","0.002775","","","","","","","","0","372","3925235"
"picat_sat","jsswet","jsswet.mzn","jsswet_la18.dzn","OPTIMAL_SOLUTION","49.21582348796073","","","8","48.871938067954034","","","","0.25885842000669984","1022","","","raw","0.085027","minimize","","","131","","900","","","","","900","","450","0","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_la13.dzn","SATISFIED","600.0596336119925","9024154","0","304","599.938","","161","","","147","","","raw","0.056471","minimize","100","597711897","161","304","","","0.00148","","","","","","16671","","0","147","18050871"
"gecode","jsswet","jsswet.mzn","jsswet_orb07.dzn","SATISFIED","600.0433054849855","5626523","0","308","599.942","","131","","","132","","","raw","0.053044","minimize","80","1131518064","131","308","","","0.001266","","","","","","1299","","0","132","11255117"
"chuffed","jsswet","jsswet.mzn","jsswet_la39.dzn","OPTIMAL_SOLUTION","15.022873880981933","7001","262","232","14.828","14.825","180283","0.0","","272","0.0","1630370492","raw","0.069647","minimize","775","27127392","271","","","15834","0.01","3.16","180009","","7001","","96","272","0","3454","141621"
"gecode","jsswet","jsswet.mzn","jsswet_la01.dzn","SATISFIED","600.0371704300051","9159450","0","834","599.948","","81","","","77","","","raw","0.046167","minimize","53","992437472","81","834","","","0.000832","","","","","","1675","","0","77","18327875"
"gecode","jsswet","jsswet.mzn","jsswet_la32.dzn","UNKNOWN","600.0499813440256","2468981","0","0","599.909","","391","","","372","","","raw","0.086211","minimize","154","411022700","391","0","","","0.002842","","","","","","","","0","372","4938083"
"gecode","jsswet","jsswet.mzn","jsswet_orb05.dzn","SATISFIED","600.0454304890009","20394938","0","579","599.938","","131","","","132","","","raw","0.056814","minimize","75","922196709","131","579","","","0.001172","","","","","","2445","","0","132","40795811"
"chuffed","jsswet","jsswet.mzn","jsswet_swv02.dzn","SATISFIED","600.0549465520307","","","1022","","","","","","252","","","raw","0.065872","minimize","","","261","","","","","","","","","","8026","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la02.dzn","OPTIMAL_SOLUTION","10.064554059004877","4613","1168","1148","9.829","9.826","112774","0.0","","77","0.0","1630368725","raw","0.052743","minimize","619","8952092","81","","","13525","0.107","0.94","112690","","4613","","75","82","0","544","142026"
"chuffed","jsswet","jsswet.mzn","jsswet_orb10.dzn","OPTIMAL_SOLUTION","24.121895461983513","41031","1258","1132","23.972","23.969","86681","0.0","","132","0.0","1630370764","raw","0.050044","minimize","390","76280056","131","","","52084","0.017","1.41","86547","","41031","","93","132","0","1054","374639"
"picat_sat","jsswet","jsswet.mzn","jsswet_swv04.dzn","OPTIMAL_SOLUTION","465.7193632090348","","","8","465.3754777890281","","","","0.13723242000669986","4042","","","raw","0.206653","minimize","","","261","","3800","","","","","3800","","1900","214","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la11.dzn","OPTIMAL_SOLUTION","236.39930023695342","","","8","236.05541481694672","","","","0.21884642000669985","2042","","","raw","0.125039","minimize","","","161","","1900","","","","","1900","","950","165","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la08.dzn","OPTIMAL_SOLUTION","190.0754134900053","269632","7490","6930","189.884","189.622","114728","0.0","","112","0.0","1630368820","raw","0.055625","minimize","372","474066511","121","","","392495","0.032","1.41","114604","","269632","","106","122","0","1184","1859578"
"chuffed","jsswet","jsswet.mzn","jsswet_la12.dzn","SATISFIED","600.0543727490003","","","1478","","","","","","147","","","raw","0.06123","minimize","","","161","","","","","","","","","","6438","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_swv14.dzn","UNKNOWN","600.5210595339886","","","0","","","","","","25102","","","raw","1.10028","minimize","","","651","","24500","","","","","24500","","12250","","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_orb01.dzn","OPTIMAL_SOLUTION","122.336731145042","152474","2800","2425","122.152","122.151","107219","0.0","","132","0.0","1630370527","raw","0.059789","minimize","353","201830320","131","","","55652","0.01","1.41","107085","","152474","","178","132","0","1054","763747"
"picat_sat","jsswet","jsswet.mzn","jsswet_la29.dzn","OPTIMAL_SOLUTION","335.7878091579769","","","8","335.4439237379702","","","","0.12625242000669987","4042","","","raw","0.217633","minimize","","","261","","3800","","","","","3800","","1900","27","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_orb05.dzn","OPTIMAL_SOLUTION","90.91037356003653","","","6","90.56648814002983","","","","0.25424942000669987","1022","","","raw","0.089636","minimize","","","131","","900","","","","","900","","450","183","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_yn4.dzn","SATISFIED","600.0677157960017","1217751","0","2487","599.91","","461","","","462","","","raw","0.086409","minimize","260","296894587","460","2487","","","0.003172","","","","","","3332","","0","461","2604537"
"gecode","jsswet","jsswet.mzn","jsswet_la10.dzn","SATISFIED","600.045567816007","9757764","0","2200","599.944","","121","","","112","","","raw","0.0509","minimize","88","1004593454","121","2200","","","0.001069","","","","","","5358","","0","112","19535642"
"chuffed","jsswet","jsswet.mzn","jsswet_la28.dzn","SATISFIED","600.0542422800208","","","2114","","","","","","252","","","raw","0.067586","minimize","","","261","","","","","","","","","","4283","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_swv09.dzn","SATISFIED","600.1678387690336","","","7","599.8239533490269","","","","0.06154742000669988","6042","","","raw","0.282338","minimize","","","361","","5700","","","","","5700","","2850","111","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_la03.dzn","OPTIMAL_SOLUTION","8.297842391999438","28526","0","2341","7.0634","","81","","","77","","","raw","0.046874","minimize","46","1847168","81","2341","","","0.000859","","","","","","101","","0","77","92049"
"picat_sat","jsswet","jsswet.mzn","jsswet_la08.dzn","OPTIMAL_SOLUTION","116.2365659159841","","","8","115.8926804959774","","","","0.25123542000669985","1157","","","raw","0.09265","minimize","","","121","","1050","","","","","1050","","525","92","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_abz8.dzn","OPTIMAL_SOLUTION","1.291962259041611","217","6","4","0.427","0.425","585011","0.0","","357","0.0","1630368721","raw","0.09575","minimize","1000","933418","360","","","9425","0.575","4.75","584648","","217","","3","361","0","6094","12201"
"picat_sat","jsswet","jsswet.mzn","jsswet_la39.dzn","OPTIMAL_SOLUTION","251.04234277299838","","","8","250.69845735299168","","","","0.15492942000669985","3407","","","raw","0.188956","minimize","","","271","","3150","","","","","3150","","1575","96","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_orb08.dzn","OPTIMAL_SOLUTION","12.920694413012825","5886","885","859","12.773","12.772","91589","0.0","","132","0.0","1630370710","raw","0.05194","minimize","388","14259470","131","","","14655","0.018","1.41","91455","","5886","","0","132","0","1054","231443"
"picat_sat","jsswet","jsswet.mzn","jsswet_la35.dzn","SATISFIED","600.272042069002","","","2","599.9281566489954","","","","-0.07433457999330012","9062","","","raw","0.41822","minimize","","","391","","8700","","","","","8700","","4350","35497","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la07.dzn","OPTIMAL_SOLUTION","146.23058655502973","280169","4255","3670","146.038","146.028","114967","0.0","","112","0.0","1630368806","raw","0.053606","minimize","1405","459012723","121","","","481210","0.031","3.16","114843","","280169","","225","122","0","1184","1430673"
"chuffed","jsswet","jsswet.mzn","jsswet_la14.dzn","SATISFIED","600.0561977630132","","","1166","","","","","","147","","","raw","0.05851","minimize","","","161","","","","","","","","","","14364","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_la39.dzn","SATISFIED","600.0540173230111","4128050","0","1351","599.929","","271","","","272","","","raw","0.065989","minimize","154","531645263","271","1351","","","0.002114","","","","","","4336","","0","272","8295343"
"picat_sat","jsswet","jsswet.mzn","jsswet_la25.dzn","OPTIMAL_SOLUTION","169.639737866004","","","7","169.2958524459973","","","","0.20819742000669986","2282","","","raw","0.135688","minimize","","","196","","2100","","","","","2100","","1050","214","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la02.dzn","OPTIMAL_SOLUTION","67.56887743598782","","","7","67.22499201598112","","","","0.27923142000669987","522","","","raw","0.064654","minimize","","","81","","450","","","","","450","","225","75","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la26.dzn","OPTIMAL_SOLUTION","351.4478637120337","","","9","351.103978292027","","","","0.12988742000669987","4042","","","raw","0.213998","minimize","","","261","","3800","","","","","3800","","1900","140","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la40.dzn","SATISFIED","600.0694188950001","","","2842","","","","","","272","","","raw","0.066348","minimize","","","271","","","","","","","","","","468","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_la37.dzn","SATISFIED","600.0560623930069","11115041","0","1829","599.927","","271","","","272","","","raw","0.067337","minimize","155","774590480","271","1829","","","0.00212","","","","","","6677","","0","272","22271044"
"gecode","jsswet","jsswet.mzn","jsswet_la19.dzn","SATISFIED","600.048650495999","4592527","0","1271","599.941","","131","","","132","","","raw","0.053586","minimize","77","654803548","131","1271","","","0.001225","","","","","","2163","","0","132","9205808"
"gecode","jsswet","jsswet.mzn","jsswet_orb04.dzn","SATISFIED","600.0569175360142","7491134","0","1087","599.94","","131","","","132","","","raw","0.054463","minimize","85","598862534","131","1087","","","0.001262","","","","","","2503","","0","132","14995046"
"chuffed","jsswet","jsswet.mzn","jsswet_swv05.dzn","SATISFIED","600.1504745720304","","","942","","","","","","252","","","raw","0.066956","minimize","","","261","","","","","","","","","","9522","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_swv10.dzn","SATISFIED","600.0588319849921","3794456","0","945","599.921","","361","","","357","","","raw","0.074167","minimize","209","292726172","361","945","","","0.002624","","","","","","16696","","0","357","7638683"
"chuffed","jsswet","jsswet.mzn","jsswet_la21.dzn","OPTIMAL_SOLUTION","18.271935348049738","11428","519","477","18.091","18.09","146529","0.0","","192","0.0","1630369400","raw","0.060312","minimize","523","53312284","196","","","28815","0.014","2.11","146330","","11428","","167","197","0","2319","224351"
"picat_sat","jsswet","jsswet.mzn","jsswet_swv05.dzn","OPTIMAL_SOLUTION","505.5590528270113","","","7","505.2151674070046","","","","0.13817842000669986","4042","","","raw","0.205707","minimize","","","261","","3800","","","","","3800","","1900","155","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_la17.dzn","OPTIMAL_SOLUTION","23.341515246022027","78352","0","2265","22.8263","","131","","","132","","","raw","0.051241","minimize","87","16997124","131","2265","","","0.001151","","","","","","15","","0","132","206446"
"chuffed","jsswet","jsswet.mzn","jsswet_la26.dzn","SATISFIED","600.062639176962","","","1165","","","","","","252","","","raw","0.066233","minimize","","","261","","","","","","","","","","4542","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_la15.dzn","SATISFIED","600.0445649600006","6835959","0","169","599.941","","161","","","147","","","raw","0.053887","minimize","96","836575817","161","169","","","0.001328","","","","","","18423","","0","147","13673758"
"chuffed","jsswet","jsswet.mzn","jsswet_la35.dzn","SATISFIED","600.0740713480045","","","40","","","","","","372","","","raw","0.086964","minimize","","","391","","","","","","","","","","23044","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_la07.dzn","SATISFIED","600.0435668979771","12209934","0","411","599.944","","121","","","112","","","raw","0.05075","minimize","83","747902437","121","411","","","0.001054","","","","","","7577","","0","112","24424181"
"chuffed","jsswet","jsswet.mzn","jsswet_la34.dzn","SATISFIED","600.1497672679834","","","60","","","","","","372","","","raw","0.080996","minimize","","","391","","","","","","","","","","24392","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_abz7.dzn","SATISFIED","600.0442401989712","10207971","0","1038","599.909","","361","","","357","","","raw","0.08501","minimize","202","316393011","361","1038","","","0.00249","","","","","","2174","","0","357","20447493"
"gecode","jsswet","jsswet.mzn","jsswet_la34.dzn","UNKNOWN","600.0583523690002","2636680","0","0","599.908","","391","","","372","","","raw","0.087066","minimize","180","277857431","391","0","","","0.002814","","","","","","","","0","372","5273505"
"picat_sat","jsswet","jsswet.mzn","jsswet_la01.dzn","OPTIMAL_SOLUTION","66.7724068670068","","","8","66.4285214470001","","","","0.27708342000669983","522","","","raw","0.066802","minimize","","","81","","450","","","","","450","","225","127","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_orb04.dzn","OPTIMAL_SOLUTION","75.44453656696714","","","8","75.10065114696044","","","","0.25707742000669986","1022","","","raw","0.086808","minimize","","","131","","900","","","","","900","","450","10","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la24.dzn","OPTIMAL_SOLUTION","169.78811543202028","180927","2351","1913","169.592","169.591","133649","0.0","","192","0.0","1630369437","raw","0.061408","minimize","905","335133465","196","","","133608","0.019","3.16","133450","","180927","","58","197","0","2319","948082"
"gecode","jsswet","jsswet.mzn","jsswet_la08.dzn","SATISFIED","600.0426795139792","14593128","0","866","599.932","","121","","","112","","","raw","0.062729","minimize","79","523126659","121","866","","","0.001056","","","","","","4910","","0","112","29195367"
"picat_sat","jsswet","jsswet.mzn","jsswet_la13.dzn","OPTIMAL_SOLUTION","481.2451596579631","","","9","480.9012742379564","","","","0.22192642000669988","2042","","","raw","0.121959","minimize","","","161","","1900","","","","","1900","","950","50","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la20.dzn","OPTIMAL_SOLUTION","1.9946986510185525","216","218","216","1.861","1.861","51957","0.0","","132","0.0","1630369380","raw","0.056478","minimize","348","1932762","131","","","3533","0.013","0.94","51823","","216","","16","132","0","1054","52597"
"gecode","jsswet","jsswet.mzn","jsswet_la16.dzn","OPTIMAL_SOLUTION","10.711605051998049","18072","0","1895","9.5377","","131","","","132","","","raw","0.050306","minimize","69","2036785","131","1895","","","0.001222","","","","","","49","","0","132","86908"
"gecode","jsswet","jsswet.mzn","jsswet_la36.dzn","SATISFIED","600.0434143189923","3184054","0","718","599.93","","271","","","272","","","raw","0.064502","minimize","142","339460721","271","718","","","0.002006","","","","","","3714","","0","272","6388080"
"chuffed","jsswet","jsswet.mzn","jsswet_ft10.dzn","OPTIMAL_SOLUTION","77.3756427540211","66471","2618","2434","77.22","77.218","89509","0.0","","132","0.0","1630368722","raw","0.053385","minimize","306","108257221","131","","","17649","0.012","0.94","89375","","66471","","0","132","0","1054","568106"
"picat_sat","jsswet","jsswet.mzn","jsswet_orb08.dzn","OPTIMAL_SOLUTION","62.390952198999","","","9","62.0470667789923","","","","0.26184842000669983","1022","","","raw","0.082037","minimize","","","131","","900","","","","","900","","450","0","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_la27.dzn","SATISFIED","600.0608253789833","5415084","0","746","599.927","","261","","","252","","","raw","0.067502","minimize","143","443797924","261","746","","","0.002081","","","","","","8192","","0","252","10839258"
"picat_sat","jsswet","jsswet.mzn","jsswet_la05.dzn","OPTIMAL_SOLUTION","66.5244399579824","","","7","66.1805545379757","","","","0.27870042000669987","522","","","raw","0.065185","minimize","","","81","","450","","","","","450","","225","54","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la31.dzn","SATISFIED","600.0847434980096","","","72","","","","","","372","","","raw","0.088901","minimize","","","391","","","","","","","","","","15545","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la12.dzn","OPTIMAL_SOLUTION","268.99732898699585","","","8","268.65344356698915","","","","0.22667442000669985","2042","","","raw","0.117211","minimize","","","161","","1900","","","","","1900","","950","46","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la09.dzn","OPTIMAL_SOLUTION","38.73915928899078","58632","1388","1230","38.555","38.552","115718","0.0","","112","0.0","1630368913","raw","0.056173","minimize","333","98731002","121","","","60398","0.028","1.41","115594","","58632","","210","122","0","1184","356854"
"chuffed","jsswet","jsswet.mzn","jsswet_orb05.dzn","OPTIMAL_SOLUTION","41.53622486902168","24211","2281","2207","41.375","41.363","93385","0.0","","132","0.0","1630370629","raw","0.055906","minimize","361","55479432","131","","","40193","0.023","1.41","93251","","24211","","183","132","0","1054","581722"
"gecode","jsswet","jsswet.mzn","jsswet_la09.dzn","SATISFIED","600.0497571959859","11836295","0","432","599.943","","121","","","112","","","raw","0.051455","minimize","74","844403062","121","432","","","0.001144","","","","","","6273","","0","112","23675668"
"picat_sat","jsswet","jsswet.mzn","jsswet_ft10.dzn","OPTIMAL_SOLUTION","83.66573854797753","","","10","83.32185312797083","","","","0.2524374200066999","1022","","","raw","0.091448","minimize","","","131","","900","","","","","900","","450","0","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la13.dzn","SATISFIED","600.0521153219743","","","1488","","","","","","147","","","raw","0.059469","minimize","","","161","","","","","","","","","","4419","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la19.dzn","OPTIMAL_SOLUTION","0.46579413197468966","261","31","29","0.329","0.329","44384","0.0","","132","0.0","1630369355","raw","0.05633","minimize","238","406348","131","","","7898","0.022","0.94","44250","","261","","18","132","0","1054","14079"
"gecode","jsswet","jsswet.mzn","jsswet_la21.dzn","SATISFIED","600.0469773830264","4044355","0","2198","599.934","","196","","","192","","","raw","0.060497","minimize","134","697802807","196","2198","","","0.001582","","","","","","2425","","0","192","8143700"
"gecode","jsswet","jsswet.mzn","jsswet_orb06.dzn","SATISFIED","600.044174464012","7275442","0","259","599.945","","131","","","132","","","raw","0.049874","minimize","78","928000780","131","259","","","0.001168","","","","","","4744","","0","132","14555564"
